identifier,Title (Sindhi),Author (English),Year,Author (Sindhi),Title (English),Publisher,Language,Thumbnail,Link
san2020-294,سنڌ جي قومي تحريڪ جو تجزيو,Khaliq Junejo,2019,خالق جوڻيجو,Sindh Jee Qaumi Tehreek Jo Tajzio,"Sindh Progressive Publishers, Karachi.",sindhi,,
san_0417,ڏاها ڀائر (ٻارن لاءِ ڪهاڻيون),Atta Muhammad Bhanbhro,2001,عطا محمد ڀنڀرو,Daahaa Bhair,Sindhi Language Authority,sindhi,,
san_0097,ٽين دنيا جا سور,Murli Dhar,2018,مرلي ڌر,Teen Dunya Ja Soor,"Kavita Publications, Hyderabad.",sindhi,,
san_0099,سڀا جو سينگار,Sobhraj Hasaram Advani,1992,سوڀراج هاسارام آڏواڻي,Sabha jo seengaar,"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0668,هاري ڪميٽي ۽ الاٽي تحريڪ (يادون),Qazi Faiz Mohammad,1984,قاضي فيض محمد,Haari Committe ain alaaTTee tahreek,"Sindhi Saahat Ghar, Hyderabad.",sindhi,,
san_0655,سنڌ ۽ سنڌو واس,Jagdeesh Ahuja,2014,جڳديش آهوجا,Sindh ain Sindhu Vaas,"Sindhu Vaas Publications, Hyderabad.",sindhi,,
san_0708,قومي ڦرلٽ ۽ مارڪسي نقطئه نظر,Mohammad Khan Ahmadani,2017,محمد خان احمداڻي,Qoumi phur luT ain Marxi nukta e nazar,Socialist Publications Sindh.,sindhi,,
san_0425,حياتيات (بايولاجي) گائيڊ (ڏهين درجي لاءِ),Hidayat Ali Barecho,1978,هدايت علي باريچو,Hayatiat - Biology Guide for Tenth Grade,"R. H. Ahmed & Sons, Hyderabad.",sindhi,,
san_0898,هلال پاڪستان مئگزين (نومبر 1982ع),Faqeer Mohammad Lashari,1982,فقير محمد لاشاري,Halal Pakistan Magazine (November 1982),"Shaikh Sultan Trust, Karachi.",sindhi,,
san_0571,يورپ جو سفر,Shabir Shar,2018,شبير شر,Europe jo safar,"My Publications, Sakhar.",sindhi,,
san_0521,ڊيلٽا جي اڃاري نگر مان,Amir Bakhsh Jat,2014,امير بخش جت,delta je unjare nagar maan,"Aqiq Publications, Choohar Jamali.",sindhi,,
san2020-256,جون آف آرڪ,Tejumal Hotchand Shahani,2006,تيجوُمَل هوتچَند شاهاڻي,Joan Of Arc,"TRD Publications, Hyderabad.",sindhi,,
san2020-125,سنڌو ۽ ان جي ڪٺار وارن علائقن جي سياسي، اقتصادي اهميت,W. P. Andrew,2007,ڊبليو پي ائنڊريُو (سنڌيڪار عطا محمد ڀنڀرو),"Sindhu & On Ji KaThar Waran Ilaiqan Ji Siyasi, Eqtasadi Ihmeyat","Sujagi Publications, Hyderabad.",sindhi,,
san2020-8,ڪرڻا ڪرڻا (ٻاراڻي شاعري),Maqsood Gul,1985,مقصود گل,Kirnna Kirnna,"Sindhri Kitabi Silsilo, Rato Dero.",sindhi,,
san_0150,متان ٿڪا آهيو (تقريرون),Qadir Magsi,,قادر مگسي,mataan thakaa aahiyo,"Sorath Publications, Hyderabad.",sindhi,,
san_0766,ڪارونجھر (جلد 7 شمارو 13),Dr. Kamal Jamro,2015,ڊاڪٽر ڪمال ڄامڙو,Karoonjhar,"Arabia Publications, Karachi.",sindhi,,
san_0009,ٻال مهاڀارت,Unknown,1975,اڻڄاتل,Baal Mahabharat,Hindu Social Welfare Association,sindhi,,
san_0045,مهندس 1974-1975,Nawaz Soomro,1975,نواز سومرو,Mohandis 1974-1975,Sindh University Engineering College [renamed Mehran Univeristy],sindhi,,
san_0712,گليلو,Bertolt Brecht,1977,برٽالٽ بريخت (سنڌيڪار محمد ابراهيم جويو),Galileo,"Sindhi Writers' Co-operative Society, Hyderabad.",sindhi,,
san_0194,مائي جھرڪي ۽ ڪانگ خان,Bashir Bhatti,1994,بشير ڀٽي,Mai Jhirkee ain Kaangu Khan,Sindhology,sindhi,,
