#,Title (English),Title (Sindhi),Author (English),Author (Sindhi),Year,Publisher,Category,Language,Link,Thumbnail
1,Wajood Ja Azab (Kahaniyoon),وجود جا عذاب (ڪھاڻيون),Muhammad Sidique Mangio,محمد صديق منگيو,2006,"Maseeha Publication, Sakrand.",Fiction,Sindhi,https://lib.sindh.org/download/9543,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699eba4b3ecac.png
2,Hik Sard Deewar Aen Ba Biya Nove,ھڪ سرد ديوار ۽ ٻہ ٻيا ناول,Lal Pushp,لعل پشپ,2007,"Roshni Publication, Kandiaro.",Fiction,Sindhi,https://lib.sindh.org/download/9542,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699eb9ef9bd94.png
3,Mirya Mathe Mach (Hiso Pehriyon),مڙيا مٿي مچ (حصو پھريون),Faqeer Mir Muhammad Nizamani,فقير مير محمد نظاماڻي,2010,"Al-Mehran Foundation, Sanghar.",Autobiography / Biography,Sindhi,https://lib.sindh.org/download/9541,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699eb92c8f06b.png
4,Garha Lafaz (Kahaniyoon),ڳاڙھا لفظ (ڪھاڻيون),Hyder Darya,حيدر دريا,2017,"Aftab-e-Adab Publication, Hyderabad.",Fiction,Sindhi,https://lib.sindh.org/download/9540,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699eb8f0963fa.png
5,Awaraf Ul Muaraf (Mukamil),عوارف المعارف (مڪمل),Hazrat Umer Bin Shahabuddin Sarhandi,حضرت عمر بن محمد شھاب الدين سھروردي (مترجم پروفيسر عمر بن محمد سومار منڱريو),2013,"Mehran Academy, Shikarpur.",Religion,Sindhi,https://lib.sindh.org/download/9539,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699eb8aea9a5e.png
6,Ilmi Sindhi Urdu Lughat,علمی سندھی اردو لغت,Badar Dhamraho,بدر دھامراہو,2011,"Kathiawar Store, Karachi.",Dictionary,Urdu,https://lib.sindh.org/download/9538,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699eab13a0fda.png
7,Shikarpur Jee Sahafati Tareekh,شڪارپور جي صحافتي تاريخ,Dr. Anwar Figar Hakro,ڊاڪٽر انور فگار ھڪڙو,2004,"Roshni Publication, Kandiaro.",History,Sindhi,https://lib.sindh.org/download/9537,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699eaab35df0e.png
8,Sharah Sur Kalyan,شرح سر ڪلياڻ,Rasool Bakhsh Dero,رسول بخش ڏيرو,2005,"Mehran Academy, Shikarpur.",Latifyat,Sindhi,https://lib.sindh.org/download/9536,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699ea9a7e4e86.png
9,Shah Latif (Novel),شاھہ لطيف (ناول),Sarmad Chandio,سرمد چانڊيو,2022,"Murk Publication, Karachi.",Fiction,Sindhi,https://lib.sindh.org/download/9535,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699ea865e560c.png
10,Shah Jo Risalo (Juld Tiyon),شاھہ جو رسالو (جلد ٽيون),Hotchand Molchand Gurbakhshani,ھوتچند مولچند گربخشاڻي,2018,"Culture Department, Government of Sindh, Karachi.",Latifyat,Sindhi,https://lib.sindh.org/download/9534,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699ea74c20024.png
